year,word,n
2005,million,397
2005,stock,235
2005,net,229
2005,cash,223
2005,sales,194
2005,december,180
2005,operating,172
2005,financial,170
2005,income,157
2005,based,148
2006,million,339
2006,stock,237
2006,net,189
2006,cash,188
2006,december,182
2006,financial,173
2006,sales,164
2006,income,152
2006,operating,142
2006,tax,130
2007,million,318
2007,stock,204
2007,net,198
2007,cash,193
2007,financial,189
2007,december,176
2007,tax,166
2007,sales,164
2007,income,148
2007,operating,133
2008,million,281
2008,net,212
2008,stock,210
2008,financial,206
2008,cash,191
2008,december,183
2008,income,169
2008,sales,164
2008,tax,163
2008,assets,150
2009,million,212
2009,net,199
2009,financial,184
2009,cash,181
2009,stock,173
2009,sales,161
2009,december,151
2009,tax,149
2009,income,146
2009,operating,136
2010,net,191
2010,million,189
2010,cash,178
2010,sales,160
2010,stock,157
2010,tax,150
2010,december,145
2010,income,143
2010,financial,142
2010,operating,135
2011,net,202
2011,million,193
2011,cash,184
2011,sales,172
2011,tax,168
2011,stock,167
2011,december,163
2011,income,160
2011,financial,154
2011,assets,138
2012,net,191
2012,tax,191
2012,cash,186
2012,million,186
2012,december,174
2012,income,171
2012,sales,163
2012,stock,161
2012,financial,145
2012,operating,141
2013,million,202
2013,net,198
2013,cash,196
2013,tax,188
2013,december,181
2013,sales,171
2013,stock,158
2013,income,155
2013,operating,150
2013,financial,141
2014,cash,236
2014,net,212
2014,tax,207
2014,december,196
2014,million,190
2014,sales,179
2014,income,170
2014,stock,163
2014,operating,159
2014,financial,150
2015,cash,215
2015,tax,212
2015,net,205
2015,december,191
2015,sales,191
2015,million,186
2015,income,183
2015,stock,160
2015,operating,158
2015,financial,144
2016,tax,229
2016,cash,216
2016,december,205
2016,million,191
2016,net,191
2016,income,181
2016,sales,175
2016,operating,161
2016,stock,148
2016,services,136
2017,tax,299
2017,cash,223
2017,december,212
2017,million,209
2017,net,206
2017,sales,187
2017,income,173
2017,operating,165
2017,financial,158
2017,stock,137
2018,cash,254
2018,tax,245
2018,december,199
2018,net,189
2018,sales,170
2018,income,158
2018,billion,157
2018,financial,150
2018,million,150
2018,operating,150
2019,cash,247
2019,tax,233
2019,december,200
2019,net,185
2019,income,173
2019,sales,171
2019,operating,161
2019,financial,160
2019,billion,147
2019,services,144
2020,cash,224
2020,tax,190
2020,net,185
2020,income,179
2020,december,177
2020,billion,175
2020,sales,171
2020,operating,163
2020,services,147
2020,financial,145
2021,cash,210
2021,billion,178
2021,december,176
2021,net,173
2021,tax,172
2021,income,169
2021,sales,165
2021,services,158
2021,including,156
2021,operating,154
2022,billion,212
2022,cash,211
2022,december,194
2022,tax,189
2022,services,183
2022,sales,179
2022,net,172
2022,including,171
2022,income,166
2022,operating,163
2023,cash,211
2023,services,211
2023,december,201
2023,billion,200
2023,tax,198
2023,including,182
2023,net,177
2023,sales,174
2023,income,166
2023,operating,163
